batch_code,material_type,quantity_kg,color,grade,location,status,waste_type,waste_kg,disposal_method,recycled_percentage,co2_equivalent_kg,period_month,period_year
BATCH-2024-001,cotton,850.5,white,A,Warehouse A,active,fabric_scraps,85.0,recycled,72.0,12.5,1,2024
BATCH-2024-002,polyester,1200.0,black,B,Warehouse B,active,cutting_waste,144.0,recycled,65.0,21.6,1,2024
BATCH-2024-003,nylon,450.0,blue,A,Warehouse A,active,fabric_scraps,45.0,upcycled,80.0,6.8,1,2024
BATCH-2024-004,wool,320.0,grey,A,Cold Storage,active,fabric_scraps,32.0,donated,90.0,4.8,1,2024
BATCH-2024-005,denim,780.0,indigo,B,Warehouse C,active,cutting_waste,93.6,recycled,60.0,14.0,2,2024
BATCH-2024-006,silk,95.0,cream,A,Secure Storage,active,fabric_scraps,9.5,upcycled,85.0,1.4,2,2024
BATCH-2024-007,cotton,1100.0,raw,A,Warehouse A,active,fabric_scraps,110.0,recycled,70.0,16.5,2,2024
BATCH-2024-008,polyester,900.0,red,C,Warehouse B,active,dye_waste,90.0,landfill,20.0,27.0,2,2024
BATCH-2024-009,viscose,650.0,white,B,Warehouse D,active,water_waste,130.0,recycled,55.0,19.5,3,2024
BATCH-2024-010,linen,280.0,natural,A,Warehouse A,active,fabric_scraps,28.0,composted,88.0,4.2,3,2024
BATCH-2024-011,cotton,970.0,yellow,A,Warehouse C,active,cutting_waste,116.4,recycled,68.0,17.5,3,2024
BATCH-2024-012,nylon,540.0,green,B,Warehouse B,active,chemical_waste,54.0,incineration,0.0,32.4,3,2024
BATCH-2024-013,wool,410.0,brown,A,Cold Storage,active,fabric_scraps,41.0,donated,92.0,6.2,4,2024
BATCH-2024-014,polyester,1350.0,black,A,Warehouse A,active,cutting_waste,162.0,recycled,74.0,24.3,4,2024
BATCH-2024-015,denim,820.0,blue,B,Warehouse C,active,fabric_scraps,98.4,recycled,63.0,14.8,4,2024
BATCH-2024-016,silk,120.0,gold,A,Secure Storage,active,fabric_scraps,12.0,upcycled,90.0,1.8,4,2024
BATCH-2024-017,cotton,1250.0,white,A,Warehouse A,reserved,cutting_waste,150.0,recycled,75.0,22.5,5,2024
BATCH-2024-018,viscose,720.0,pink,B,Warehouse D,active,water_waste,144.0,recycled,58.0,21.6,5,2024
BATCH-2024-019,linen,350.0,natural,A,Warehouse A,active,fabric_scraps,35.0,composted,85.0,5.3,5,2024
BATCH-2024-020,polyester,1050.0,white,A,Warehouse B,active,cutting_waste,126.0,recycled,71.0,18.9,5,2024
BATCH-2024-021,cotton,880.0,orange,B,Warehouse C,active,dye_waste,88.0,recycled,45.0,13.2,6,2024
BATCH-2024-022,nylon,610.0,black,A,Warehouse B,active,fabric_scraps,61.0,upcycled,82.0,9.2,6,2024
BATCH-2024-023,wool,490.0,grey,A,Cold Storage,active,fabric_scraps,49.0,donated,88.0,7.4,6,2024
BATCH-2024-024,denim,950.0,indigo,A,Warehouse C,active,cutting_waste,114.0,recycled,67.0,17.1,6,2024
BATCH-2024-025,silk,80.0,white,A,Secure Storage,depleted,fabric_scraps,8.0,upcycled,95.0,1.2,7,2024
BATCH-2024-026,cotton,1400.0,raw,A,Warehouse A,active,cutting_waste,168.0,recycled,78.0,25.2,7,2024
BATCH-2024-027,polyester,800.0,blue,B,Warehouse B,active,chemical_waste,80.0,incineration,0.0,48.0,7,2024
BATCH-2024-028,viscose,580.0,white,A,Warehouse D,active,water_waste,116.0,recycled,60.0,17.4,7,2024
BATCH-2024-029,linen,420.0,natural,A,Warehouse A,active,fabric_scraps,42.0,composted,90.0,6.3,8,2024
BATCH-2024-030,cotton,1150.0,black,A,Warehouse A,active,cutting_waste,138.0,recycled,73.0,20.7,8,2024
BATCH-2024-031,nylon,480.0,grey,B,Warehouse B,active,fabric_scraps,48.0,recycled,76.0,7.2,8,2024
BATCH-2024-032,wool,380.0,cream,A,Cold Storage,active,fabric_scraps,38.0,donated,86.0,5.7,8,2024
BATCH-2024-033,denim,1020.0,black,A,Warehouse C,active,cutting_waste,122.4,recycled,69.0,18.4,9,2024
BATCH-2024-034,silk,110.0,red,A,Secure Storage,active,fabric_scraps,11.0,upcycled,88.0,1.7,9,2024
BATCH-2024-035,polyester,1300.0,white,A,Warehouse A,active,cutting_waste,156.0,recycled,72.0,23.4,9,2024
BATCH-2024-036,cotton,920.0,blue,B,Warehouse B,active,dye_waste,92.0,recycled,40.0,13.8,9,2024
BATCH-2024-037,viscose,660.0,pink,A,Warehouse D,active,water_waste,132.0,recycled,62.0,19.8,10,2024
BATCH-2024-038,linen,310.0,natural,A,Warehouse A,active,fabric_scraps,31.0,composted,87.0,4.7,10,2024
BATCH-2024-039,nylon,520.0,green,A,Warehouse B,active,fabric_scraps,52.0,upcycled,84.0,7.8,10,2024
BATCH-2024-040,wool,445.0,charcoal,A,Cold Storage,active,fabric_scraps,44.5,donated,91.0,6.7,10,2024
BATCH-2024-041,cotton,1320.0,white,A,Warehouse A,active,cutting_waste,158.4,recycled,76.0,23.8,11,2024
BATCH-2024-042,denim,870.0,blue,B,Warehouse C,active,cutting_waste,104.4,recycled,65.0,15.7,11,2024
BATCH-2024-043,polyester,960.0,black,A,Warehouse B,active,cutting_waste,115.2,recycled,70.0,17.3,11,2024
BATCH-2024-044,silk,90.0,ivory,A,Secure Storage,active,fabric_scraps,9.0,upcycled,92.0,1.4,11,2024
BATCH-2024-045,cotton,1500.0,raw,A,Warehouse A,active,cutting_waste,180.0,recycled,80.0,27.0,12,2024
BATCH-2024-046,viscose,700.0,white,A,Warehouse D,active,water_waste,140.0,recycled,63.0,21.0,12,2024
BATCH-2024-047,nylon,560.0,navy,A,Warehouse B,active,fabric_scraps,56.0,recycled,78.0,8.4,12,2024
BATCH-2024-048,wool,500.0,natural,A,Cold Storage,active,fabric_scraps,50.0,donated,89.0,7.5,12,2024
BATCH-2025-001,cotton,1050.0,white,A,Warehouse A,active,fabric_scraps,105.0,recycled,74.0,15.8,1,2025
